,Unnamed: 0,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
71,8,F-04,헤이와다이,13.5,0,0,-0.516332710847479,1.2205288696501553,-0.26933039209050835,0.34836650714580897,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,-1.0125177250138007,-0.17179113807746663,-0.5733036497128153
72,9,F-05,히카와다이,14.9,0,0,-0.5510370453257123,-0.287183263447095,-0.26933039209050835,0.34836650714580897,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,-1.5811388300841895,-0.7977240352174656,-0.3926089137808616,-0.49975603804353935,-0.2723192336135873
73,10,F-06,코타케무카이하라,16.4,1,0,0.6202493999369065,-0.287183263447095,0.13466519604525415,0.34836650714580897,0.04711428474315455,-0.32444284226152503,-0.22360679774997896,-1.5811388300841895,-0.7977240352174656,-1.9423809418632094,-1.1556858379756847,-0.5733036497128153
74,11,F-07,센카와,17.4,0,0,-0.5496859407141315,-0.287183263447095,-0.26933039209050835,0.34836650714580897,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,0.1033181352054897,0.8121035618207515,-0.5733036497128153
75,12,F-08,카나메쵸,18.5,0,0,-0.539907754134165,-0.287183263447095,-0.26933039209050835,0.34836650714580897,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,-0.08265450816439203,0.4841386618546788,-0.2723192336135873
76,13,F-09,이케부쿠로,19.4,1,0,3.1439742395379433,-0.287183263447095,2.9626343129955917,1.8115058371582062,3.0153142235618913,3.082207001484488,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,1.4051266387946617,-1.4836507379417574,1.533587262981781
77,14,F-10,조시가야,21.2,0,0,-0.6978830625651546,1.2205288696501553,-0.26933039209050835,-1.1147728228665883,0.04711428474315455,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,-0.5165906760274493,-0.827720938009612,-0.5733036497128153
78,15,F-11,니시와세다,22.7,0,0,-0.5666873404098569,1.2205288696501553,-0.6733259802262709,-1.1147728228665883,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,-1.8183991796166215,-0.49975603804353935,-0.5733036497128153
79,16,F-12,히가시신주쿠,23.6,0,0,-0.5472089155929,-0.287183263447095,-0.26933039209050835,0.34836650714580897,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,-1.5811388300841895,-0.7977240352174656,0.28929077857537144,-1.4836507379417574,-0.5733036497128153
80,17,F-13,신주쿠산초메,24.7,1,0,0.2668056301035593,-0.287183263447095,0.13466519604525415,1.8115058371582062,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,1.5910992821645435,0.15617376188860607,3.6404781756763778
